spot_id,datetime,station,dma_code,rate,length,session_count
0,5/15/2023 7:27,KATU,820,212.5,30,0
1,5/15/2023 18:23,KATU,820,212.5,30,1
2,5/16/2023 19:29,KATU,820,425.0,30,0
3,5/18/2023 19:37,KATU,820,425.0,30,1
4,5/19/2023 17:29,KATU,820,467.5,30,0
5,5/19/2023 18:21,KATU,820,212.5,30,0
6,5/19/2023 19:04,KATU,820,425.0,30,0
7,5/15/2023 5:23,KBNZ,821,12.75,30,0
8,5/15/2023 8:24,KBNZ,821,12.75,30,0
9,5/15/2023 9:24,KBNZ,821,21.25,30,0
10,5/16/2023 5:15,KBNZ,821,12.75,30,0
11,5/16/2023 5:56,KBNZ,821,12.75,30,0
12,5/16/2023 10:29,KBNZ,821,29.75,30,0
13,5/16/2023 17:14,KBNZ,821,12.75,30,0
14,5/16/2023 18:25,KBNZ,821,55.25,30,0
15,5/16/2023 19:19,KBNZ,821,42.5,30,0
16,5/17/2023 17:52,KBNZ,821,68.0,30,0
17,5/17/2023 19:13,KBNZ,821,42.5,30,0
18,5/17/2023 23:13,KBNZ,821,29.75,30,0
19,5/18/2023 5:17,KBNZ,821,12.75,30,0
20,5/18/2023 8:42,KBNZ,821,12.75,30,0
21,5/18/2023 18:11,KBNZ,821,55.25,30,0
22,5/18/2023 19:19,KBNZ,821,42.5,30,0
23,5/18/2023 23:11,KBNZ,821,29.75,30,0
24,5/19/2023 8:53,KBNZ,821,12.75,30,0
25,5/19/2023 9:26,KBNZ,821,21.25,30,0
26,5/19/2023 10:29,KBNZ,821,29.75,30,0
27,5/19/2023 17:14,KBNZ,821,12.75,30,0
28,5/19/2023 17:50,KBNZ,821,68.0,30,0
29,5/19/2023 18:58,KBNZ,821,55.25,30,0
30,5/19/2023 23:18,KBNZ,821,29.75,30,0
31,5/20/2023 13:58,KBNZ,821,212.5,30,0
32,5/21/2023 18:59,KBNZ,821,55.25,30,0
33,5/15/2023 17:23,KBOI,757,191.25,30,0
34,5/15/2023 22:28,KBOI,757,106.25,30,0
35,5/16/2023 16:54,KBOI,757,76.5,30,0
36,5/16/2023 22:14,KBOI,757,106.25,30,0
37,5/17/2023 16:13,KBOI,757,76.5,30,0
38,5/17/2023 16:58,KBOI,757,191.25,30,0
39,5/17/2023 18:23,KBOI,757,191.25,30,0
40,5/18/2023 7:22,KBOI,757,59.5,30,0
41,5/18/2023 17:56,KBOI,757,140.25,30,0
42,5/18/2023 18:40,KBOI,757,191.25,30,0
43,5/19/2023 8:23,KBOI,757,59.5,30,0
44,5/19/2023 17:56,KBOI,757,140.25,30,0
45,5/21/2023 8:32,KBOI,757,191.25,30,0
46,5/21/2023 9:59,KBOI,757,102.0,30,0
47,5/21/2023 17:57,KBOI,757,102.0,30,0
48,5/21/2023 22:22,KBOI,757,106.25,30,0
49,5/19/2023 18:27,KHQ,881,340.0,30,0
50,5/20/2023 21:20,KHQ,881,127.5,30,0
51,5/15/2023 6:56,KOHD,821,17.0,30,0
52,5/15/2023 8:53,KOHD,821,17.0,30,0
53,5/15/2023 17:58,KOHD,821,63.75,30,0
54,5/15/2023 19:28,KOHD,821,97.75,30,0
55,5/15/2023 19:54,KOHD,821,80.75,30,0
56,5/15/2023 20:42,KOHD,821,80.75,30,0
57,5/15/2023 22:31,KOHD,821,63.75,30,0
58,5/15/2023 23:30,KOHD,821,21.25,30,0
59,5/16/2023 9:14,KOHD,821,8.5,30,0
60,5/16/2023 17:25,KOHD,821,63.75,30,0
61,5/16/2023 18:58,KOHD,821,106.25,30,0
62,5/16/2023 20:26,KOHD,821,80.75,30,0
63,5/16/2023 22:32,KOHD,821,63.75,30,0
64,5/17/2023 6:27,KOHD,821,17.0,30,0
65,5/17/2023 9:12,KOHD,821,8.5,30,0
66,5/17/2023 18:15,KOHD,821,34.0,30,0
67,5/17/2023 23:17,KOHD,821,21.25,30,0
68,5/18/2023 8:47,KOHD,821,17.0,30,0
69,5/18/2023 18:14,KOHD,821,34.0,30,0
70,5/19/2023 17:12,KOHD,821,63.75,30,0
71,5/19/2023 18:58,KOHD,821,106.25,30,0
72,5/19/2023 19:13,KOHD,821,97.75,30,0
73,5/19/2023 19:47,KOHD,821,80.75,30,0
74,5/19/2023 20:17,KOHD,821,80.75,30,0
75,5/19/2023 20:42,KOHD,821,80.75,30,0
76,5/20/2023 16:59,KOHD,821,102.0,30,0
77,5/20/2023 20:18,KOHD,821,25.5,30,0
78,5/21/2023 7:29,KOHD,821,12.75,30,0
79,5/21/2023 16:59,KOHD,821,102.0,30,0
80,5/21/2023 17:57,KOHD,821,127.5,30,0
81,5/21/2023 19:33,KOHD,821,127.5,30,0
82,5/21/2023 20:35,KOHD,821,63.75,30,0
83,5/21/2023 21:39,KOHD,821,127.5,30,0
84,5/21/2023 21:58,KOHD,821,127.5,30,0
85,5/15/2023 8:57,KOIN,820,127.5,30,0
