spot_id,datetime,station,dma_code,rate,length
0,5/15/2023 7:27,KATU,820,212.5,30
1,5/15/2023 18:23,KATU,820,212.5,30
2,5/16/2023 19:29,KATU,820,425,30
3,5/18/2023 19:37,KATU,820,425,30
4,5/19/2023 17:29,KATU,820,467.5,30
5,5/19/2023 18:21,KATU,820,212.5,30
6,5/19/2023 19:04,KATU,820,425,30
7,5/15/2023 5:23,KBNZ,821,12.75,30
8,5/15/2023 8:24,KBNZ,821,12.75,30
9,5/15/2023 9:24,KBNZ,821,21.25,30
10,5/16/2023 5:15,KBNZ,821,12.75,30
11,5/16/2023 5:56,KBNZ,821,12.75,30
12,5/16/2023 10:29,KBNZ,821,29.75,30
13,5/16/2023 17:14,KBNZ,821,12.75,30
14,5/16/2023 18:25,KBNZ,821,55.25,30
15,5/16/2023 19:19,KBNZ,821,42.5,30
16,5/17/2023 17:52,KBNZ,821,68,30
17,5/17/2023 19:13,KBNZ,821,42.5,30
18,5/17/2023 23:13,KBNZ,821,29.75,30
19,5/18/2023 5:17,KBNZ,821,12.75,30
20,5/18/2023 8:42,KBNZ,821,12.75,30
21,5/18/2023 18:11,KBNZ,821,55.25,30
22,5/18/2023 19:19,KBNZ,821,42.5,30
23,5/18/2023 23:11,KBNZ,821,29.75,30
24,5/19/2023 8:53,KBNZ,821,12.75,30
25,5/19/2023 9:26,KBNZ,821,21.25,30
26,5/19/2023 10:29,KBNZ,821,29.75,30
27,5/19/2023 17:14,KBNZ,821,12.75,30
28,5/19/2023 17:50,KBNZ,821,68,30
29,5/19/2023 18:58,KBNZ,821,55.25,30
30,5/19/2023 23:18,KBNZ,821,29.75,30
31,5/20/2023 13:58,KBNZ,821,212.5,30
32,5/21/2023 18:59,KBNZ,821,55.25,30
33,5/15/2023 17:23,KBOI,757,191.25,30
34,5/15/2023 22:28,KBOI,757,106.25,30
35,5/16/2023 16:54,KBOI,757,76.5,30
36,5/16/2023 22:14,KBOI,757,106.25,30
37,5/17/2023 16:13,KBOI,757,76.5,30
38,5/17/2023 16:58,KBOI,757,191.25,30
39,5/17/2023 18:23,KBOI,757,191.25,30
40,5/18/2023 7:22,KBOI,757,59.5,30
41,5/18/2023 17:56,KBOI,757,140.25,30
42,5/18/2023 18:40,KBOI,757,191.25,30
43,5/19/2023 8:23,KBOI,757,59.5,30
44,5/19/2023 17:56,KBOI,757,140.25,30
45,5/21/2023 8:32,KBOI,757,191.25,30
46,5/21/2023 9:59,KBOI,757,102,30
47,5/21/2023 17:57,KBOI,757,102,30
48,5/21/2023 22:22,KBOI,757,106.25,30
49,5/19/2023 18:27,KHQ,881,340,30
50,5/20/2023 21:20,KHQ,881,127.5,30
51,5/15/2023 6:56,KOHD,821,17,30
52,5/15/2023 8:53,KOHD,821,17,30
53,5/15/2023 17:58,KOHD,821,63.75,30
54,5/15/2023 19:28,KOHD,821,97.75,30
55,5/15/2023 19:54,KOHD,821,80.75,30
56,5/15/2023 20:42,KOHD,821,80.75,30
57,5/15/2023 22:31,KOHD,821,63.75,30
58,5/15/2023 23:30,KOHD,821,21.25,30
59,5/16/2023 9:14,KOHD,821,8.5,30
60,5/16/2023 17:25,KOHD,821,63.75,30
61,5/16/2023 18:58,KOHD,821,106.25,30
62,5/16/2023 20:26,KOHD,821,80.75,30
63,5/16/2023 22:32,KOHD,821,63.75,30
64,5/17/2023 6:27,KOHD,821,17,30
65,5/17/2023 9:12,KOHD,821,8.5,30
66,5/17/2023 18:15,KOHD,821,34,30
67,5/17/2023 23:17,KOHD,821,21.25,30
68,5/18/2023 8:47,KOHD,821,17,30
69,5/18/2023 18:14,KOHD,821,34,30
70,5/19/2023 17:12,KOHD,821,63.75,30
71,5/19/2023 18:58,KOHD,821,106.25,30
72,5/19/2023 19:13,KOHD,821,97.75,30
73,5/19/2023 19:47,KOHD,821,80.75,30
74,5/19/2023 20:17,KOHD,821,80.75,30
75,5/19/2023 20:42,KOHD,821,80.75,30
76,5/20/2023 16:59,KOHD,821,102,30
77,5/20/2023 20:18,KOHD,821,25.5,30
78,5/21/2023 7:29,KOHD,821,12.75,30
79,5/21/2023 16:59,KOHD,821,102,30
80,5/21/2023 17:57,KOHD,821,127.5,30
81,5/21/2023 19:33,KOHD,821,127.5,30
82,5/21/2023 20:35,KOHD,821,63.75,30
83,5/21/2023 21:39,KOHD,821,127.5,30
84,5/21/2023 21:58,KOHD,821,127.5,30
85,5/15/2023 8:57,KOIN,820,127.5,30
86,5/15/2023 12:23,KOIN,820,153,30
87,5/15/2023 17:54,KOIN,820,144.5,30
88,5/16/2023 10:29,KOIN,820,233.75,30
89,5/16/2023 19:53,KOIN,820,161.5,30
90,5/17/2023 5:26,KOIN,820,51,30
91,5/17/2023 8:50,KOIN,820,127.5,30
92,5/17/2023 10:29,KOIN,820,233.75,30
93,5/17/2023 18:27,KOIN,820,212.5,30
94,5/17/2023 19:24,KOIN,820,178.5,30
95,5/18/2023 5:39,KOIN,820,51,30
96,5/18/2023 12:26,KOIN,820,153,30
97,5/18/2023 17:28,KOIN,820,161.5,30
98,5/18/2023 18:12,KOIN,820,212.5,30
99,5/18/2023 19:47,KOIN,820,161.5,30
100,5/19/2023 17:24,KOIN,820,161.5,30
101,5/19/2023 19:14,KOIN,820,178.5,30
102,5/20/2023 16:27,KOIN,820,382.5,30
103,5/20/2023 17:18,KOIN,820,170,30
104,5/20/2023 18:18,KOIN,820,212.5,30
105,5/20/2023 23:20,KOIN,820,119,30
106,5/21/2023 23:12,KOIN,820,119,30
107,5/18/2023 9:43,KPTV,820,102,30
108,5/17/2023 23:25,KPTV,820,212.5,30
109,5/19/2023 20:29,KPTV,820,595,30
110,5/15/2023 23:27,KPTV,820,170,30
111,5/17/2023 7:21,KPTV,820,187,30
112,5/15/2023 9:53,KPTV,820,102,30
113,5/16/2023 7:20,KPTV,820,187,30
114,5/21/2023 22:57,KPTV,820,212.5,30
115,5/20/2023 21:11,KPTV,820,595,30
116,5/15/2023 5:27,KTVM,762,59.5,30
117,5/16/2023 14:05,KTVM,762,0,30
118,5/17/2023 5:20,KTVM,762,59.5,30
119,5/18/2023 8:43,KTVM,762,38.25,30
120,5/18/2023 11:11,KTVM,762,0,30
121,5/18/2023 6:28,KTVM,762,80.75,30
122,5/18/2023 11:35,KTVM,762,0,30
123,5/19/2023 7:22,KTVM,762,38.25,30
124,5/19/2023 8:43,KTVM,762,0,30
125,5/19/2023 9:33,KTVM,762,0,30
126,5/19/2023 10:31,KTVM,762,76.5,30
127,5/20/2023 6:45,KTVM,762,46.75,30
128,5/20/2023 10:28,KTVM,762,59.5,30
129,5/21/2023 5:29,KTVM,762,46.75,30
130,5/21/2023 10:25,KTVM,762,68,30
131,5/15/2023 5:33,KTVZ,821,29.75,30
132,5/15/2023 17:20,KTVZ,821,140.25,30
133,5/15/2023 18:48,KTVZ,821,127.5,30
134,5/15/2023 19:23,KTVZ,821,85,30
135,5/15/2023 19:45,KTVZ,821,42.5,30
136,5/15/2023 23:21,KTVZ,821,55.25,30
137,5/16/2023 8:42,KTVZ,821,85,30
138,5/16/2023 18:20,KTVZ,821,127.5,30
139,5/16/2023 23:27,KTVZ,821,55.25,30
140,5/17/2023 5:09,KTVZ,821,29.75,30
141,5/17/2023 6:54,KTVZ,821,106.25,30
142,5/18/2023 19:15,KTVZ,821,85,30
143,5/19/2023 6:27,KTVZ,821,106.25,30
144,5/19/2023 7:58,KTVZ,821,85,30
145,5/19/2023 17:25,KTVZ,821,140.25,30
146,5/19/2023 18:59,KTVZ,821,127.5,30
147,5/19/2023 19:50,KTVZ,821,42.5,30
148,5/20/2023 18:16,KTVZ,821,85,30
149,5/20/2023 23:25,KTVZ,821,55.25,30
150,5/21/2023 7:59,KTVZ,821,63.75,30
151,5/21/2023 18:25,KTVZ,821,76.5,30
152,5/21/2023 18:44,KTVZ,821,29.75,30
153,5/21/2023 23:10,KTVZ,821,55.25,30
154,5/18/2023 16:59,KXLF,754,50,30
155,5/19/2023 14:52,KXLF,754,0,30
156,5/17/2023 12:09,KXLF,754,0,30
157,5/19/2023 16:58,KXLF,754,50,30
158,5/15/2023 6:52,KXLF,754,60,30
159,5/19/2023 8:54,KXLF,754,40,30
160,5/19/2023 17:47,KXLF,754,155,30
161,5/17/2023 8:29,KXLF,754,40,30
162,5/15/2023 8:53,KXLF,754,0,30
163,5/15/2023 17:36,TNT,819,35.25,30
164,5/15/2023 19:49,TNT,819,35.25,30
165,5/18/2023 19:40,TNT,819,35.25,30
166,5/19/2023 18:42,TNT,819,35.25,30
167,5/18/2023 22:30,RTNW,819,10.5,30
168,5/19/2023 16:59,RTNW,819,10.5,30
169,5/20/2023 18:36,RTNW,819,10.5,30
170,5/20/2023 23:37,RTNW,819,10.5,30
171,5/15/2023 16:59,ESPN,819,47,30
172,5/15/2023 16:46,ESPN,819,47,30
173,5/17/2023 18:05,ESPN,819,47,30
174,5/18/2023 21:51,ESPN,819,47,30
175,5/18/2023 22:50,ESPN,819,47,30
176,5/16/2023 16:55,TBSC,819,35.25,30
177,5/17/2023 16:42,TBSC,819,35.25,30
178,5/18/2023 18:45,TBSC,819,35.25,30
179,5/19/2023 17:45,TBSC,819,35.25,30
180,5/19/2023 22:40,TBSC,819,35.25,30
181,5/15/2023 7:59,RTNW,819,1.5,30
182,5/16/2023 10:00,RTNW,819,1.5,30
183,5/17/2023 7:58,RTNW,819,1.5,30
184,5/18/2023 10:00,RTNW,819,1.5,30
